domain,page_type,urls,share_pct
Buildxact AU,Case studies,21,3.5
Buildxact AU,Commercial conversion,10,1.7
Buildxact AU,Comparison,1,0.2
Buildxact AU,Editorial / learning,195,32.6
Buildxact AU,Help / education,1,0.2
Buildxact AU,Integrations / partners,90,15.1
Buildxact AU,Other public page,236,39.5
Buildxact AU,Product / feature,43,7.2
Buildxact AU,Trade / use-case landing,1,0.2
Groundplan,Commercial conversion,3,2.1
Groundplan,Editorial / learning,98,70.0
Groundplan,Help / education,2,1.4
Groundplan,Homepage,1,0.7
Groundplan,Integrations / partners,11,7.9
Groundplan,Other public page,7,5.0
Groundplan,Product / feature,5,3.6
Groundplan,Trade / use-case landing,13,9.3
Kreo,Case studies,27,0.9
Kreo,Commercial conversion,3,0.1
Kreo,Comparison,2,0.1
Kreo,Editorial / learning,265,9.1
Kreo,Glossary / definitions,2565,88.2
Kreo,Help / education,3,0.1
Kreo,Homepage,1,0.0
Kreo,Integrations / partners,4,0.1
Kreo,Other public page,13,0.4
Kreo,Product / feature,10,0.3
Kreo,Trade / use-case landing,15,0.5
KindAI intended,Commercial conversion,2,16.7
KindAI intended,Homepage,1,8.3
KindAI intended,Other public page,9,75.0
